"","groupid","elapsedtime","sex","age","health","nationality","countryofbirth","educationlevel","studentstatus","totalwords","countCorrect_neutral","countCorrect_low","countCorrect_high","countCorrect_negative","countCorrect_sum","propCorrect_neutral","propCorrect_low","propCorrect_high","propCorrect_negative","countCritical_neutral","countCritical_low","countCritical_high","countCritical_negative","countCritical_sum","propCritical_neutral","propCritical_low","propCritical_high","propCritical_negative","countIntrusion_sum","RCG_countCorrect_neutral","RCG_countCorrect_low","RCG_countCorrect_high","RCG_countCorrect_negative","RCG_countCorrect_sum","RCG_propCorrect_neutral","RCG_propCorrect_low","RCG_propCorrect_high","RCG_propCorrect_negative","RCG_propCorrect_total","RCG_countCritical_neutral","RCG_countCritical_low","RCG_countCritical_high","RCG_countCritical_negative","RCG_countCritical_sum","RCG_propCritical_neutral","RCG_propCritical_low","RCG_propCritical_high","RCG_propCritical_negative","RCG_propCritical_total","RCG_countIntrusion_neutralword","RCG_countIntrusion_lowword","RCG_countIntrusion_highword","RCG_countIntrusion_negativeword","RCG_countIntrusion_sumword","RCG_propIntrusion_neutralword","RCG_propIntrusion_lowword","RCG_propIntrusion_highword","RCG_propIntrusion_negativeword","RCG_propIntrusion_totalword","RCG_countIntrusion_neutrallure","RCG_countIntrusion_lowlure","RCG_countIntrusion_highlure","RCG_countIntrusion_negativelure","RCG_countIntrusion_sumlure","RCG_propIntrusion_neutrallure","RCG_propIntrusion_lowlure","RCG_propIntrusion_highlure","RCG_propIntrusion_negativelure","RCG_propIntrusion_totallure","RCG_countIntrusion_neutral","RCG_countIntrusion_low","RCG_countIntrusion_high","RCG_countIntrusion_negative","RCG_countIntrusion_sum","RCG_propIntrusion_neutral","RCG_propIntrusion_low","RCG_propIntrusion_high","RCG_propIntrusion_negative","RCG_propIntrusion_total","nr_MathProblems","propCorrect_Math","attentioncheck","oldresponse","CEQtotal","DEStotal","differencescorepc","propCorrectoverall","propRCGCorrectoverall","differencescoreh1","differencescoreh1b","differencescoreh1c","differencescoreh2","differencescoreh2b","differencescoreh2c","HRCorrNeu","Z_HRCorrNeu","HRCorrNeg","Z_HRCorrNeg","FAIntNeu","Z_FAIntNeu","FAIntNeg","Z_FAIntNeg","FACritNeu","Z_FACritNeu","FACritNeg","Z_FACritNeg","d_critical_neutral","d_critical_negative","d_unrelated_neutral","d_unrelated_negative","differencescoreh5","differencescoreh5b","c_critical_neutral","c_critical_negative","differencescoreh4","c_unrelated_neutral","c_unrelated_negative","differencescoreh4b","differencescoreh6","differencescoreh7"
"12",1,2246680,"Female",27,0,"Zimbabwe","Zimbabwe","Bachelor's Degree","No",50,26,8,8,16,42,0.541666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,8,10,6,5,11,21,0.833333333333333,1,0.833333333333333,0.916666666666667,0.875,0,0,1,1,1,0,0,0.5,0.25,0.125,0,1,2,3,3,0,0.166666666666667,0.333333333333333,0.25,0.125,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,0,0.125,0.25,0.1875,0.09375,68,0.941176470588235,1,0.390625,12,46.0714285714286,0,0.4375,0.890625,0,0,-0.208333333333333,0.25,0,0.0833333333333339,0.807692307692308,0.869423773288886,0.884615384615385,1.19837970230692,0.0294117647058824,-1.88950996033343,0.205882352941176,-0.82079208833238,0.1,-1.2815515655446,0.3,-0.524400512708041,2.15097533883349,1.72278021501497,2.75893373362232,2.0191717906393,-0.428195123818522,-0.739761942983011,0.206063896127857,-0.336989594799442,-0.543053490927299,0.510043093522272,-0.188793806987272,-0.698836900509544,0,0.5
"13",2,2155783,"Female",44,1,"New Zealand","New Zealand","Bachelor's Degree","No",33,16,5,4,9,25,0.333333333333333,0.208333333333333,0.166666666666667,0.1875,2,0,0,0,2,0.5,0,0,0,6,10,2,4,6,16,0.833333333333333,0.333333333333333,0.666666666666667,0.5,0.666666666666667,2,1,0,1,3,0.5,0.5,0,0.25,0.375,1,1,0,1,2,0.0833333333333334,0.166666666666667,0,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0.0625,0.125,0,0.0625,0.0625,66,0.954545454545455,1,0.328125,15,13.5714285714286,0.4375,0.260416666666667,0.796875,-0.5,-0.5,-0.145833333333333,-0.25,0,-0.333333333333333,0.807692307692308,0.869423773288886,0.5,0,0.0882352941176471,-1.35170223993066,0.0882352941176471,-1.35170223993066,0.5,0,0.3,-0.524400512708041,0.869423773288886,0.524400512708041,2.22112601321955,1.35170223993066,-0.345023260580845,-0.869423773288886,-0.434711886644443,0.26220025635402,0.696912142998463,0.241139233320888,0.675851119965331,0.434711886644443,0,-0.5
"14",1,1989196,"Male",45,0,"South Africa","South Africa","High School Degree or equivalent","No",10,4,0,1,1,5,0.0833333333333333,0,0.0416666666666667,0.0208333333333333,1,0,1,1,2,0.25,0,0.5,0.25,3,6,6,1,7,13,0.5,1,0.166666666666667,0.583333333333333,0.541666666666667,2,2,1,3,5,0.5,1,0.5,0.75,0.625,3,1,1,2,5,0.25,0.166666666666667,0.166666666666667,0.166666666666667,0.208333333333333,2,0,1,1,3,0.5,0,0.5,0.25,0.375,5,1,2,3,8,0.3125,0.125,0.25,0.1875,0.25,58,0.603448275862069,1,0.40625,8,3.92857142857143,0.1875,0.0520833333333333,0.625,0,-0.25,-0.0625,0.25,0.5,0.083333333333333,0.5,0,0.576923076923077,0.194028142423926,0.323529411764706,-0.457851931012495,0.205882352941176,-0.82079208833238,0.5,0,0.7,0.524400512708041,0,-0.330372370284114,0.457851931012495,1.01482023075631,-0.330372370284114,0.556968299743812,0,-0.359214327565983,-0.359214327565983,0.228925965506247,0.313381972954227,0.0844560074479796,0.5,-0.5
"16",2,1697426,"Female",36,0,"South Africa","South Africa","High School Degree or equivalent","No",25,8,10,4,14,22,0.166666666666667,0.416666666666667,0.166666666666667,0.291666666666667,0,1,0,1,1,0,0.5,0,0.25,2,6,4,3,7,13,0.5,0.666666666666667,0.5,0.583333333333333,0.541666666666667,2,2,1,3,5,0.5,1,0.5,0.75,0.625,0,2,0,2,2,0,0.333333333333333,0,0.166666666666667,0.0833333333333333,0,1,0,1,1,0,0.5,0,0.25,0.125,0,3,0,3,3,0,0.375,0,0.1875,0.09375,57,0.982456140350877,1,0.328125,10,49.6428571428571,0.5,0.229166666666667,0.703125,0.25,0.5,0.125,0.25,0.5,0.083333333333333,0.5,0,0.576923076923077,0.194028142423926,0.0294117647058824,-1.88950996033343,0.205882352941176,-0.82079208833238,0.5,0,0.7,0.524400512708041,0,-0.330372370284114,1.88950996033343,1.01482023075631,-0.330372370284114,-0.874689729577124,0,-0.359214327565983,-0.359214327565983,0.944754980166715,0.313381972954227,-0.631373007212488,-0.5,-0.5
"18",2,1530733,"Female",45,0,"United Kingdom","United Kingdom","Bachelor's Degree","No",42,25,4,5,9,34,0.520833333333333,0.166666666666667,0.208333333333333,0.1875,2,1,1,2,4,0.5,0.5,0.5,0.5,4,11,5,5,10,21,0.916666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.875,4,2,2,4,8,1,1,1,1,1,0,2,0,2,2,0,0.333333333333333,0,0.166666666666667,0.0833333333333333,0,1,0,1,1,0,0.5,0,0.25,0.125,0,3,0,3,3,0,0.375,0,0.1875,0.09375,118,0.949152542372881,1,0.5,8,24.6428571428571,1,0.354166666666667,0.78125,0,0,-0.333333333333333,0,0,-0.0833333333333339,0.884615384615385,1.19837970230692,0.807692307692308,0.869423773288886,0.0294117647058824,-1.88950996033343,0.205882352941176,-0.82079208833238,0.9,1.2815515655446,0.9,1.2815515655446,-0.0831718632376763,-0.412127792255715,3.08788966264035,1.69021586162127,-0.328955929018038,-1.39767380101909,-1.23996563392576,-1.07548766941674,0.164477964509019,0.345565129013253,-0.0243158424782528,-0.369880971491506,0,0
"19",1,1377526,"Female",31,0,"United Kingdom","United Kingdom","High School Degree or equivalent","No",49,22,7,11,18,40,0.458333333333333,0.291666666666667,0.458333333333333,0.375,1,2,1,3,4,0.25,1,0.5,0.75,5,12,4,5,9,21,1,0.666666666666667,0.833333333333333,0.75,0.875,3,2,2,4,7,0.75,1,1,1,0.875,1,0,2,2,3,0.0833333333333334,0,0.333333333333333,0.166666666666667,0.125,0,1,1,2,2,0,0.5,0.5,0.5,0.25,1,1,3,4,5,0.0625,0.125,0.375,0.25,0.15625,63,0.936507936507937,1,0.515625,7,14.6428571428571,0.6875,0.416666666666667,0.765625,0.5,0.75,-0.0833333333333333,0.25,0.25,-0.25,0.961538461538462,1.76882503851871,0.730769230769231,0.615141104595973,0.0882352941176471,-1.35170223993066,0.264705882352941,-0.62890421763219,0.7,0.524400512708041,0.9,1.2815515655446,1.24442452581067,-0.666410460948627,3.12052727844937,1.24404532222816,-1.91083498675929,-1.8764819562212,-1.14661277561337,-0.948346335070287,0.198266440543086,-0.208561399294022,0.00688155651810834,0.215442955812131,-0.5,0
"20",2,1549738,"Female",33,0,"United Kingdom","United Kingdom","High School Degree or equivalent","No",24,8,5,4,9,17,0.166666666666667,0.208333333333333,0.166666666666667,0.1875,0,1,2,3,3,0,0.5,1,0.75,4,7,4,4,8,15,0.583333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.625,3,1,2,3,6,0.75,0.5,1,0.75,0.75,2,1,0,1,3,0.166666666666667,0.166666666666667,0,0.0833333333333333,0.125,1,1,0,1,2,0.25,0.5,0,0.25,0.25,3,2,0,2,5,0.1875,0.25,0,0.125,0.15625,66,0.939393939393939,1,0.40625,5,23.2142857142857,0.5625,0.177083333333333,0.6875,0.75,0.5,0.0208333333333333,0,-0.25,0.0833333333333339,0.576923076923077,0.194028142423926,0.653846153846154,0.395725295814487,0.205882352941176,-0.82079208833238,0.147058823529412,-1.04913139796397,0.7,0.524400512708041,0.7,0.524400512708041,-0.330372370284114,-0.128675216893553,1.01482023075631,1.44485669377846,0.201697153390561,0.430036463022152,-0.359214327565983,-0.460062904261264,-0.100848576695281,0.313381972954227,0.326703051074742,0.0133210781205149,0.5,0.5
"21",2,1639627,"Female",26,0,"South Africa","South Africa","High School Degree or equivalent","Yes",28,13,6,4,10,23,0.270833333333333,0.25,0.166666666666667,0.208333333333333,2,1,0,1,3,0.5,0.5,0,0.25,2,11,4,6,10,21,0.916666666666667,0.666666666666667,1,0.833333333333333,0.875,4,2,2,4,8,1,1,1,1,1,0,2,2,4,4,0,0.333333333333333,0.333333333333333,0.333333333333333,0.166666666666667,1,1,1,2,3,0.25,0.5,0.5,0.5,0.375,1,3,3,6,7,0.0625,0.375,0.375,0.375,0.21875,57,0.929824561403509,1,0.5625,12,70,0.9375,0.239583333333333,0.71875,-0.25,0,-0.0625,0,0,-0.0833333333333339,0.884615384615385,1.19837970230692,0.807692307692308,0.869423773288886,0.0882352941176471,-1.35170223993066,0.382352941176471,-0.299306910465667,0.9,1.2815515655446,0.9,1.2815515655446,-0.0831718632376763,-0.412127792255715,2.55008194223759,1.16873068375455,-0.328955929018038,-1.38135125848303,-1.23996563392576,-1.07548766941674,0.164477964509019,0.0766612688118684,-0.285058431411609,-0.361719700223478,-0.5,0
"22",2,1625186,"Female",21,0,"DATA EXPIRED","Nigeria","High School Degree or equivalent","Yes",21,1,7,2,9,10,0.0208333333333333,0.291666666666667,0.0833333333333333,0.1875,0,1,0,1,1,0,0.5,0,0.25,10,5,6,5,11,16,0.416666666666667,1,0.833333333333333,0.916666666666667,0.666666666666667,3,2,1,3,6,0.75,1,0.5,0.75,0.75,5,4,3,7,12,0.416666666666667,0.666666666666667,0.5,0.583333333333333,0.5,3,2,1,3,6,0.75,1,0.5,0.75,0.75,8,6,4,10,18,0.5,0.75,0.5,0.625,0.5625,70,0.971428571428571,1,0.625,14,39.2857142857143,0.25,0.104166666666667,0.5,0.25,0.5,0.166666666666667,0,0.25,0.5,0.423076923076923,-0.194028142423926,0.884615384615385,1.19837970230692,0.5,0,0.617647058823529,0.299306910465667,0.7,0.524400512708041,0.7,0.524400512708041,-0.718428655131967,0.673979189598884,-0.194028142423926,0.899072791841257,1.39240784473085,1.09310093426518,-0.165186185142057,-0.861390107507483,-0.696203922365425,0.0970140712119631,-0.748843306386296,-0.845857377598259,-0.5,-0.5
"23",1,2324799,"Male",37,0,"Switzerland","Korea","Bachelor's Degree","No",20,6,5,2,7,13,0.125,0.208333333333333,0.0833333333333333,0.145833333333333,1,1,0,1,2,0.25,0.5,0,0.25,5,5,3,4,7,12,0.416666666666667,0.5,0.666666666666667,0.583333333333333,0.5,3,2,2,4,7,0.75,1,1,1,0.875,1,1,0,1,2,0.0833333333333334,0.166666666666667,0,0.0833333333333333,0.0833333333333333,1,1,0,1,2,0.25,0.5,0,0.25,0.25,2,2,0,2,4,0.125,0.25,0,0.125,0.125,89,0.932584269662921,1,0.359375,3,25.7142857142857,0.625,0.135416666666667,0.640625,0,0.25,0.0208333333333333,0.25,0.25,0.166666666666666,0.423076923076923,-0.194028142423926,0.576923076923077,0.194028142423926,0.147058823529412,-1.04913139796397,0.147058823529412,-1.04913139796397,0.7,0.524400512708041,0.9,1.2815515655446,-0.718428655131967,-1.08752342312067,0.855103255540045,1.2431595403879,-0.369094767988708,0.388056284847853,-0.165186185142057,-0.737789853984264,-0.572603668842206,0.621579770193949,0.427551627770022,-0.194028142423926,-0.5,0
"24",2,1675779,"Male",27,0,"Australia","Australia","High School Degree or equivalent","No",20,3,12,5,17,20,0.0625,0.5,0.208333333333333,0.354166666666667,0,0,0,0,0,0,0,0,0,0,7,4,4,8,15,0.583333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.625,1,0,1,1,2,0.25,0,0.5,0.25,0.25,0,1,1,2,2,0,0.166666666666667,0.166666666666667,0.166666666666667,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0.125,0.125,0.125,0.0625,72,0.958333333333333,1,0.296875,1,8.92857142857143,0.25,0.208333333333333,0.796875,0,0,0.291666666666667,0,-0.25,0.0833333333333339,0.576923076923077,0.194028142423926,0.653846153846154,0.395725295814487,0.0294117647058824,-1.88950996033343,0.147058823529412,-1.04913139796397,0.3,-0.524400512708041,0.3,-0.524400512708041,0.718428655131967,0.920125808522528,2.08353810275736,1.44485669377846,0.201697153390561,-0.638681408978898,0.165186185142057,0.0643376084467767,-0.100848576695281,0.847740908954752,0.326703051074742,-0.52103785788001,0,0.5
